Dataset,Subset,Algo,Method,Acc,F1,Omega,NLL,ECE
gas_drift,inliers,RIPPER,Yager,0.9795307039440839,0.9785101928339833,0.1103290468454361,0.16185966362191195,0.08579511909098267
gas_drift,outliers,FOIL,Dempster,0.9461883408071748,0.8964494031428436,0.09014368802309036,0.20083872082424653,0.036603542234739724
gas_drift,outliers,FOIL,Vote,0.9551569506726457,0.9028280951075068,0.0,0.45001379790083895,0.027653213747267206
gas_drift,outliers,FOIL,Yager,0.9461883408071748,0.8964494031428436,0.1417648196220398,0.24869658223538316,0.07742599862513605
gas_drift,outliers,RIPPER,Dempster,0.9372197309417041,0.8822341057635176,0.05962101370096207,0.22926402374543112,0.05767056420105458
gas_drift,outliers,RIPPER,Vote,0.9506726457399103,0.9163297227589006,0.0,0.6051299073446764,0.0634529147409278
gas_drift,outliers,RIPPER,Yager,0.9461883408071748,0.8541769044598423,0.14981132745742798,0.28052464936822835,0.09271947413724548
german,inliers,FOIL,Dempster,0.7152777777777778,0.4533333333333333,0.6053916811943054,0.6150496354894271,0.13016198734244905
german,inliers,FOIL,Vote,0.7152777777777778,0.4057971014492754,0.0,4.578135537123242,0.17777777781839924
german,inliers,FOIL,Yager,0.7152777777777778,0.4533333333333333,0.6247191429138184,0.6191739356797572,0.14556482204089904
german,inliers,RIPPER,Dempster,0.75,0.45454545454545453,0.34473565220832825,0.5669786169419851,0.09707362069046394
german,inliers,RIPPER,Vote,0.7222222222222222,0.4594594594594595,0.0,0.9563597604814988,0.10997850564279657
german,inliers,RIPPER,Yager,0.7430555555555556,0.4307692307692308,0.4243153929710388,0.5821246654354618,0.11846001008155657
german,outliers,FOIL,Dempster,0.75,0.5,0.6397712230682373,0.5703958910021463,0.3047982665957808
german,outliers,FOIL,Vote,0.8125,0.5714285714285714,0.0,3.6852090128736616,0.2395833333327708
german,outliers,FOIL,Yager,0.75,0.5,0.6611993312835693,0.5734153248481186,0.3068544356084142
german,outliers,RIPPER,Dempster,0.6875,0.0,0.3636661171913147,0.6300390231227035,0.10272320572029384
german,outliers,RIPPER,Vote,0.6875,0.2857142857142857,0.0,0.6113986678048261,0.11845238153778374
german,outliers,RIPPER,Yager,0.75,0.0,0.43914374709129333,0.6340630114722514,0.16015442731691854
