Epoch,Test_Accuracy,Test_Loss,Dataset_ID,Rule_Variant
18,0.96,0.5070350766181946,3,3
19,0.96,0.5070351362228394,3,3
20,0.96,0.5070351362228394,3,3
21,0.96,0.5070350766181946,3,3
22,0.96,0.5070351362228394,3,3
23,0.96,0.5070351362228394,3,3
24,0.96,0.5070351362228394,3,3
25,0.96,0.5070351362228394,3,3
26,0.96,0.5070351958274841,3,3
27,0.96,0.5070351362228394,3,3
28,0.96,0.5070350766181946,3,3
29,0.96,0.5070351362228394,3,3
30,0.96,0.5070351362228394,3,3
1,0.96,0.5392710566520691,3,5
2,0.96,0.5114750862121582,3,5
3,0.96,0.5070357918739319,3,5
4,0.96,0.5070372223854065,3,5
5,0.96,0.5070375204086304,3,5
6,0.96,0.5070379376411438,3,5
7,0.96,0.5070381760597229,3,5
8,0.96,0.5070383548736572,3,5
9,0.96,0.5070382952690125,3,5
10,0.96,0.507038414478302,3,5
11,0.96,0.507038414478302,3,5
12,0.96,0.507038414478302,3,5
13,0.96,0.5070384740829468,3,5
14,0.96,0.5070385932922363,3,5
15,0.96,0.5070386528968811,3,5
16,0.96,0.507038414478302,3,5
17,0.96,0.5070387125015259,3,5
18,0.96,0.5070387125015259,3,5
19,0.96,0.5070387125015259,3,5
20,0.96,0.5070387125015259,3,5
21,0.96,0.5070388317108154,3,5
22,0.96,0.5070386528968811,3,5
23,0.96,0.5070386528968811,3,5
24,0.96,0.5070388913154602,3,5
25,0.96,0.5070386528968811,3,5
26,0.96,0.5070388317108154,3,5
27,0.96,0.5070387125015259,3,5
28,0.96,0.5070388317108154,3,5
29,0.96,0.5070388317108154,3,5
30,0.96,0.5070387125015259,3,5
1,1.0,0.4885487556457519,4,3
2,1.0,0.4885488450527191,4,3
3,1.0,0.5037566423416138,4,3
4,1.0,0.4885488152503967,4,3
5,1.0,0.4885488450527191,4,3
6,0.9212598425196852,0.5462506413459778,4,3
7,1.0,0.4885488152503967,4,3
8,1.0,0.4885488152503967,4,3
9,1.0,0.4885488748550415,4,3
10,0.9212598425196852,0.5433840751647949,4,3
11,1.0,0.4885488152503967,4,3
12,1.0,0.4885488450527191,4,3
13,1.0,0.5193629264831543,4,3
14,1.0,0.4885488152503967,4,3
15,1.0,0.4885488450527191,4,3
16,1.0,0.4885488450527191,4,3
17,1.0,0.4885488450527191,4,3
18,1.0,0.5032187700271606,4,3
19,1.0,0.4885488748550415,4,3
20,1.0,0.4885489046573639,4,3
21,1.0,0.5010890364646912,4,3
22,1.0,0.4885488450527191,4,3
23,0.8582677165354331,0.5883521437644958,4,3
24,1.0,0.4885489344596863,4,3
25,1.0,0.4885493814945221,4,3
26,1.0,0.4885490536689758,4,3
27,1.0,0.4885490238666534,4,3
28,1.0,0.4885488748550415,4,3
29,1.0,0.4908059537410736,4,3
30,0.8582677165354331,0.5544053912162781,4,3
1,1.0,0.492911159992218,4,5
2,1.0,0.4888622164726257,4,5
3,1.0,0.4888557493686676,4,5
4,1.0,0.4888499081134796,4,5
5,1.0,0.4888569712638855,4,5
6,1.0,0.4889262318611145,4,5
7,1.0,0.4888796806335449,4,5
8,1.0,0.488932341337204,4,5
9,1.0,0.4889024794101715,4,5
10,1.0,0.4888752102851867,4,5
11,1.0,0.4889251291751861,4,5
12,1.0,0.4889393150806427,4,5
13,1.0,0.4889102876186371,4,5
14,1.0,0.4889536499977112,4,5
15,1.0,0.4888961017131805,4,5
16,1.0,0.4889849424362182,4,5
17,1.0,0.4889002740383148,4,5
18,1.0,0.4889915883541107,4,5
19,1.0,0.4889412224292755,4,5
20,1.0,0.48897784948349,4,5
21,1.0,0.489012598991394,4,5
22,1.0,0.4888787269592285,4,5
23,1.0,0.488967627286911,4,5
24,1.0,0.4889142215251922,4,5
25,1.0,0.4892012178897857,4,5
26,1.0,0.4889135360717773,4,5
27,1.0,0.4889239072799682,4,5
28,1.0,0.489156574010849,4,5
29,1.0,0.4891198277473449,4,5
30,1.0,0.48895925283432,4,5
1,0.98,0.497791051864624,5,3
2,0.98,0.497791051864624,5,3
3,0.98,0.5273174047470093,5,3
4,0.98,0.5020701289176941,5,3
5,0.98,0.501430332660675,5,3
6,0.98,0.4996156692504883,5,3
7,0.98,0.499200165271759,5,3
8,0.98,0.4993014931678772,5,3
9,0.98,0.4987987577915191,5,3
10,0.98,0.4986791312694549,5,3
11,0.98,0.4988600015640259,5,3
12,0.98,0.4985233545303345,5,3
13,0.98,0.4988900423049927,5,3
14,0.98,0.4990336894989013,5,3
15,0.98,0.4984261989593506,5,3
16,0.98,0.4985724687576294,5,3
17,0.98,0.4984944462776184,5,3
18,0.98,0.4986548721790313,5,3
19,0.98,0.4983469247817993,5,3
20,0.98,0.4983666539192199,5,3
21,0.98,0.4982825517654419,5,3
22,0.98,0.4986276626586914,5,3
23,0.98,0.4982116818428039,5,3
24,0.98,0.4984444677829742,5,3
25,0.98,0.4984234571456909,5,3
26,0.98,0.4983126521110534,5,3
27,0.98,0.4982612729072571,5,3
28,0.98,0.4982574880123138,5,3
29,0.98,0.4982675611972809,5,3
30,0.98,0.4983068108558655,5,3
1,0.98,0.5367534756660461,5,5
2,0.98,0.5244677662849426,5,5
3,0.98,0.5134209990501404,5,5
4,0.98,0.5162398815155029,5,5
5,0.98,0.5160216689109802,5,5
6,0.98,0.5195261240005493,5,5
7,0.98,0.5626681447029114,5,5
8,0.98,0.4977912902832031,5,5
9,0.98,0.4977911710739136,5,5
10,0.98,0.4977933168411255,5,5
11,0.98,0.4998753070831299,5,5
12,0.98,0.4977911412715912,5,5
13,0.92,0.6014572978019714,5,5
14,0.98,0.4977911412715912,5,5
15,0.98,0.497791439294815,5,5
16,0.98,0.4977912008762359,5,5
17,0.98,0.4977912008762359,5,5
18,0.98,0.4977911412715912,5,5
19,0.98,0.4977912008762359,5,5
20,0.98,0.4977911412715912,5,5
21,0.98,0.4977912902832031,5,5
22,0.98,0.4977911412715912,5,5
23,0.98,0.4977912008762359,5,5
24,0.98,0.4977916479110718,5,5
25,0.98,0.5990038514137268,5,5
26,0.98,0.4977911412715912,5,5
27,0.98,0.497791051864624,5,5
28,0.98,0.4977911412715912,5,5
29,0.98,0.4977911710739136,5,5
30,0.98,0.4978269636631012,5,5
1,0.8830769230769231,0.543645977973938,6,3
2,0.96,0.5123250484466553,6,3
3,0.9615384615384616,0.5108293294906616,6,3
4,0.9615384615384616,0.5101179480552673,6,3
5,0.9615384615384616,0.5094932317733765,6,3
6,0.9553846153846154,0.531619668006897,6,3
7,0.8092307692307692,0.5947889685630798,6,3
8,0.7676923076923077,0.6041688919067383,6,3
9,0.913846153846154,0.5452072620391846,6,3
10,0.9553846153846154,0.5170661807060242,6,3
11,0.8292307692307692,0.5821546912193298,6,3
12,0.7984615384615384,0.5852109789848328,6,3
13,0.803076923076923,0.5801409482955933,6,3
14,0.8461538461538461,0.5674314498901367,6,3
15,0.84,0.5707477331161499,6,3
16,0.8430769230769231,0.5653490424156189,6,3
17,0.8476923076923077,0.5676800608634949,6,3
18,0.8492307692307692,0.5630287528038025,6,3
19,0.8153846153846154,0.5756398439407349,6,3
20,0.8246153846153846,0.5828368663787842,6,3
21,0.816923076923077,0.5852254629135132,6,3
22,0.8107692307692308,0.5859540104866028,6,3
23,0.8076923076923077,0.5836097598075867,6,3
24,0.8061538461538461,0.5788927674293518,6,3
25,0.8076923076923077,0.5778148770332336,6,3
26,0.8261538461538461,0.574394941329956,6,3
27,0.8184615384615385,0.576403021812439,6,3
28,0.8415384615384616,0.5718433260917664,6,3
29,0.9061538461538462,0.5497692823410034,6,3
30,0.8569230769230769,0.5639891028404236,6,3
1,0.9307692307692308,0.5294871926307678,6,5
2,0.9292307692307692,0.5341141223907471,6,5
3,0.96,0.5184499621391296,6,5
4,0.9153846153846154,0.5371608138084412,6,5
5,0.9092307692307692,0.5378525257110596,6,5
6,0.9046153846153846,0.5371103286743164,6,5
7,0.9092307692307692,0.5367127656936646,6,5
8,0.9123076923076923,0.5352112054824829,6,5
9,0.9261538461538461,0.5301843881607056,6,5
10,0.9138461538461539,0.5407865643501282,6,5
11,0.88,0.557223379611969,6,5
12,0.8461538461538461,0.5683910846710205,6,5
13,0.8584615384615385,0.5634644031524658,6,5
14,0.8661538461538462,0.55931556224823,6,5
15,0.8753846153846154,0.5546202063560486,6,5
16,0.8723076923076923,0.5520012378692627,6,5
17,0.88,0.5487270951271057,6,5
18,0.9230769230769231,0.5304882526397705,6,5
19,0.8676923076923077,0.5548807382583618,6,5
20,0.916923076923077,0.5347182750701904,6,5
21,0.7876923076923077,0.5887983441352844,6,5
22,0.8323076923076923,0.5696460008621216,6,5
23,0.8569230769230769,0.562192440032959,6,5
24,0.8769230769230769,0.5504635572433472,6,5
25,0.8523076923076923,0.5672259330749512,6,5
26,0.8430769230769231,0.5657786726951599,6,5
27,0.8369230769230769,0.567009449005127,6,5
28,0.8338461538461538,0.5688750743865967,6,5
29,0.8123076923076923,0.5747432112693787,6,5
30,0.8246153846153846,0.5730052590370178,6,5
