dataset,method,acc,std_acc,min_acc,max_acc,macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,precision,std_precision,min_precision,max_precision,recall,std_recall,min_recall,max_recall,nll,std_nll,min_nll,max_nll,ece,std_ece,min_ece,max_ece,unc_mean,std_unc_mean,min_unc_mean,max_unc_mean,unc_comb,std_unc_comb,min_unc_comb,max_unc_comb,fusion_depth,std_fusion_depth,min_fusion_depth,max_fusion_depth,n_runs,n_seeds
BrainTumor,RF,0.9930942895086321,0.000593909157370431,0.9920318725099602,0.9933598937583,0.9930067830714474,0.0006024824120214461,0.991929029768625,0.993276221397153,0.9938276052279047,0.0005235808887887064,0.9928909952606636,0.994061757719715,0.9922848664688427,0.0006635216550443422,0.9910979228486648,0.9925816023738872,0.031152439992687082,0.0013772858431559435,0.0301778524784637,0.033571733656794,0.006962815405668519,0.0005331833724902832,0.0064043824707543,0.007576361222397,,,,,,,,,,,,,5,5
BrainTumor,RIPPER:native_ordered_rule,0.9800796812749004,0.0,0.9800796812749004,0.9800796812749004,0.9797778155743939,0.0,0.979777815574394,0.979777815574394,0.9821397738064404,0.0,0.9821397738064404,0.9821397738064404,0.9780265635699612,0.0,0.9780265635699612,0.9780265635699612,0.5504187473302543,0.0,0.5504187473302543,0.5504187473302543,0.0199203187240994,0.0,0.0199203187240994,0.0199203187240994,,,,,,,,,,,,,5,5
BrainTumor,RIPPER:first_hit_laplace,0.9800796812749004,0.0,0.9800796812749004,0.9800796812749004,0.9797778155743939,0.0,0.979777815574394,0.979777815574394,0.9821397738064404,0.0,0.9821397738064404,0.9821397738064404,0.9780265635699612,0.0,0.9780265635699612,0.9780265635699612,0.1116443479215938,0.0,0.1116443479215938,0.1116443479215938,0.0327112602222686,0.0,0.0327112602222686,0.0327112602222686,,,,,,,,,,,,,5,5
BrainTumor,RIPPER:weighted_vote,0.9840637450199206,0.0,0.9840637450199204,0.9840637450199204,0.983895344692379,0.0,0.983895344692379,0.983895344692379,0.9836368688811936,0.0,0.9836368688811936,0.9836368688811936,0.9841681408354257,0.0,0.9841681408354256,0.9841681408354256,0.2199031437068213,0.0,0.2199031437068213,0.2199031437068213,0.0514497954441827,0.0,0.0514497954441827,0.0514497954441827,,,,,,,,,,,,,5,5
BrainTumor,RIPPER:dsgd_dempster,0.9848605577689244,0.0007273871945619831,0.9840637450199204,0.9853917662682604,0.9846945457323877,0.0007377469981721731,0.9838863843871264,0.9852333199625618,0.984614652136543,0.0006648144570983321,0.9838863843871264,0.9851001639694874,0.98477659210226,0.0008126447440728684,0.9838863843871264,0.9853700639123488,0.35140344897122466,0.026764160752138253,0.3167288942953736,0.3759582980951518,0.27337863045915356,0.020328998792506322,0.246901141536871,0.2918195075651092,0.853208058114704,0.017505210261407923,0.8302141534854691,0.8690585440215203,0.5425164076832345,0.03826887208287725,0.4925958085186769,0.577554573259189,,,,,5,5
BrainTumor,FOIL:native_ordered_rule,0.9880478087649402,0.0,0.9880478087649402,0.9880478087649402,0.9878898453038081,0.0,0.9878898453038082,0.9878898453038082,0.9890285837094348,0.0,0.9890285837094348,0.9890285837094348,0.9869286407212965,0.0,0.9869286407212964,0.9869286407212964,0.3302512483985526,0.0,0.3302512483985526,0.3302512483985526,0.0119521912340596,0.0,0.0119521912340596,0.0119521912340596,,,,,,,,,,,,,5,5
BrainTumor,FOIL:first_hit_laplace,0.9880478087649402,0.0,0.9880478087649402,0.9880478087649402,0.9878898453038081,0.0,0.9878898453038082,0.9878898453038082,0.9890285837094348,0.0,0.9890285837094348,0.9890285837094348,0.9869286407212965,0.0,0.9869286407212964,0.9869286407212964,0.0886134972610666,0.0,0.0886134972610666,0.0886134972610666,0.0406793877123085,0.0,0.0406793877123085,0.0406793877123085,,,,,,,,,,,,,5,5
BrainTumor,FOIL:weighted_vote,0.9907038512616202,0.0,0.9907038512616202,0.9907038512616202,0.9905867099560142,0.0,0.9905867099560142,0.9905867099560142,0.9913680851672723,0.0,0.9913680851672724,0.9913680851672724,0.9898959997717416,0.0,0.9898959997717416,0.9898959997717416,0.195302381684907,0.0,0.195302381684907,0.195302381684907,0.0125451693327099,0.0,0.0125451693327099,0.0125451693327099,,,,,,,,,,,,,5,5
BrainTumor,FOIL:dsgd_dempster,0.9885790172642762,0.0007273871945619831,0.9880478087649402,0.9893758300132802,0.9884293897255516,0.000738801626412409,0.9878898453038082,0.9892387063581668,0.9894953850733865,0.0006391940922762634,0.9890285837094348,0.990195587119314,0.9875221125313856,0.0008126447440730116,0.9869286407212964,0.988412320246519,0.3837736044825434,0.02591272378124922,0.3494051273916835,0.4081064184529428,0.30120103907719875,0.019414943951278442,0.2755704170895939,0.3195286856611912,0.8480496453732291,0.01943678901464211,0.8218078743889037,0.8659395296101868,0.6246231348391074,0.037599204297521296,0.5744266530590386,0.659681902582427,,,,,5,5
adult,RF,0.8630863583623405,0.0007319543234151986,0.8622575832918946,0.8642466434609647,0.8057831284649289,0.0011430886756464023,0.8048576345781935,0.8077734722538805,0.8285892357487491,0.0011617812050329608,0.826998522244365,0.8298761344427213,0.7893469341694337,0.0013618174838032385,0.7882342413455348,0.7916771605342806,0.30731640711880337,0.003138130840896731,0.3030542900137111,0.3119097416648321,0.00957094314588692,0.0030659148338316707,0.005289242499441,0.0123317586605529,,,,,,,,,,,,,5,5
adult,RIPPER:native_ordered_rule,0.7051549809381733,0.24973688102757477,0.2584120669650256,0.8168407094314603,0.6202412856078566,0.22749852187955938,0.2132795578451222,0.7219817175485402,0.7403130107560415,0.06408775799013819,0.625669344042838,0.7689739274343423,0.6612831093155863,0.08664378088466598,0.5062900022070184,0.7000313860927283,8.146868947624686,6.900485033099052,5.060878225278813,20.49083183700818,0.2948450190608266,0.24973688102757471,0.1831592905675397,0.7415879330339743,,,,,,,,,,,,,5,5
adult,RIPPER:first_hit_laplace,0.7051549809381733,0.24973688102757477,0.2584120669650256,0.8168407094314603,0.6202412856078566,0.22749852187955938,0.2132795578451222,0.7219817175485402,0.7403130107560415,0.06408775799013819,0.625669344042838,0.7689739274343423,0.6612831093155863,0.08664378088466598,0.5062900022070184,0.7000313860927283,0.9062789373229361,0.7218324278271766,0.5834656619258805,2.197532038911158,0.24221344011445822,0.24973688102757474,0.1305277116211713,0.688956354087606,,,,,,,,,,,,,5,5
adult,RIPPER:weighted_vote,0.8407757334659373,0.003113371624564623,0.8393833913475882,0.8463451019393337,0.7752842203349155,0.004915074810347839,0.7664918672225678,0.7774823086130025,0.7956027839475652,0.015005416154517696,0.7888921578371302,0.8224452883893052,0.762387602963576,0.013054667242648338,0.7390347042610148,0.7682258276392162,1.783414825390579,0.7881995119556194,0.3734406745386403,2.135908363103564,0.07962000891369983,0.006638205202366573,0.0677452264488323,0.0825887045299167,,,,,,,,,,,,,5,5
adult,RIPPER:dsgd_dempster,0.8574838388861263,0.0010443881320751581,0.8566219128128626,0.8591082380242002,0.7918502621777914,0.00698917233379728,0.7880908683778396,0.8042866455180246,0.8286481409595883,0.006134852222710971,0.8178300071156702,0.8330736434566646,0.7699948659640453,0.013086714963857972,0.7633448200163337,0.7933746691309256,0.3332170560994841,0.003352115505708822,0.3309122788948815,0.339060349945416,0.03390076304217214,0.0008034676206950893,0.0327151512481137,0.0348470629705675,0.6971682692772513,0.037824917411861086,0.679097322021257,0.7648145480696763,0.3248869796909709,0.03209581171684644,0.2674887839412324,0.3401448094430501,,,,,5,5
adult,FOIL:native_ordered_rule,0.8299353555445051,0.0,0.8299353555445053,0.8299353555445053,0.7170139504807855,0.0,0.7170139504807855,0.7170139504807855,0.8302034318338667,0.0,0.8302034318338667,0.8302034318338667,0.6856050977127238,0.0,0.6856050977127238,0.6856050977127238,4.6990597820236575,0.0,4.6990597820236575,4.6990597820236575,0.1700646444544947,0.0,0.1700646444544947,0.1700646444544947,,,,,,,,,,,,,5,5
adult,FOIL:first_hit_laplace,0.8299353555445051,0.0,0.8299353555445053,0.8299353555445053,0.7170139504807855,0.0,0.7170139504807855,0.7170139504807855,0.8302034318338667,0.0,0.8302034318338667,0.8302034318338667,0.6856050977127238,0.0,0.6856050977127238,0.6856050977127238,0.5456172666210907,0.0,0.5456172666210907,0.5456172666210907,0.1174330655081263,0.0,0.1174330655081263,0.1174330655081263,,,,,,,,,,,,,5,5
adult,FOIL:weighted_vote,0.833416210840378,0.0,0.8334162108403779,0.8334162108403779,0.7268754168212326,0.0,0.7268754168212326,0.7268754168212326,0.8301115888794109,0.0,0.8301115888794109,0.8301115888794109,0.6950437010198424,0.0,0.6950437010198424,0.6950437010198424,2.359440155191712,0.0,2.359440155191712,2.359440155191712,0.10896149476565968,0.0,0.1089614947656597,0.1089614947656597,,,,,,,,,,,,,5,5
