dataset,inducer,seed,system,acc,macro_f1,precision,recall,nll,ece,unc_mean,unc_comb,fusion_depth,method
BrainTumor,RF,42,rf,0.9933598937583,0.993276221397153,0.994061757719715,0.9925816023738872,0.0307635804383424,0.0064043824707543,,,,RF
BrainTumor,RIPPER,42,first_hit_laplace,0.6706507304116865,0.653613295741208,0.7852234890525679,0.7016413204747775,0.4072441851555788,0.2078604863763296,,,,RIPPER:first_hit_laplace
BrainTumor,RIPPER,42,weighted_vote,0.6520584329349269,0.6302181736392263,0.7813021702838063,0.6850961538461539,8.129129280819518,0.3390007860003137,,,,RIPPER:weighted_vote
BrainTumor,RIPPER,42,dsgd_dempster,0.9814077025232404,0.981156156156156,0.9824690313700752,0.9800737559917828,0.0862070978882644,0.0471236958991534,0.4457524795614549,0.0590160872198512,8.243027888446216,RIPPER:dsgd_dempster
BrainTumor,RIPPER,42,dsgd_yager,0.9747675962815404,0.9743681618422962,0.9771728322116702,0.9723736019173704,0.1191823171213049,0.066571792623707,0.4457524795614549,0.1391202486084767,8.243027888446216,RIPPER:dsgd_yager
BrainTumor,FOIL,42,first_hit_laplace,0.9814077025232404,0.9811790330643432,0.9817782067782068,0.9806372688883817,0.0885769487547656,0.0097110450308054,,,,FOIL:first_hit_laplace
BrainTumor,FOIL,42,weighted_vote,0.9827357237715804,0.9825285345850772,0.9829684306804054,0.9821209484136042,0.0769703922735824,0.0078909358538871,,,,FOIL:weighted_vote
BrainTumor,FOIL,42,dsgd_dempster,0.9920318725099602,0.99193387131329,0.9925461175461175,0.9913796792969642,0.05771998968584,0.0100229693796271,0.243699027979833,0.0056491411856287,10.95484727755644,FOIL:dsgd_dempster
BrainTumor,FOIL,42,dsgd_yager,0.9880478087649402,0.9879113606809736,0.9880524152106888,0.987773910066195,0.081094556930222,0.0515390910823106,0.243699027979833,0.0963223095241456,10.95484727755644,FOIL:dsgd_yager
adult,RF,42,rf,0.8630863583623405,0.8052861126132744,0.8292640758329478,0.7882342413455348,0.3074474417154294,0.0075327366151368,,,,RF
adult,RIPPER,42,first_hit_laplace,0.7608155146693187,0.4691147042331509,0.8792266488115166,0.5196404793608522,0.7454445576456323,0.189658776281114,,,,RIPPER:first_hit_laplace
adult,RIPPER,42,weighted_vote,0.8022542681916128,0.6361899040873488,0.8193858131828731,0.6191081647628808,0.5825143583146007,0.0478605005275413,,,,RIPPER:weighted_vote
adult,RIPPER,42,dsgd_dempster,0.8473396320238687,0.7741738144445623,0.815246919918623,0.7508237379954807,0.3426584013485422,0.009438891417398,0.4227421000172561,0.1524755284301325,12.271175203049893,RIPPER:dsgd_dempster
adult,RIPPER,42,dsgd_yager,0.8301011105585944,0.76882770159522,0.773896884137427,0.7642715619959086,0.4329721955502995,0.1196466402873187,0.4227421000172561,0.2931248178958676,12.271175203049893,RIPPER:dsgd_yager
adult,FOIL,42,first_hit_laplace,0.8019227581634344,0.7439848503857698,0.7369664820132275,0.7528556789284999,0.4842661689807003,0.0942212333297477,,,,FOIL:first_hit_laplace
adult,FOIL,42,weighted_vote,0.8309298856290402,0.7712779053399488,0.7746264681318515,0.7681613950471688,2.0245089995044507,0.1016827266387067,,,,FOIL:weighted_vote
adult,FOIL,42,dsgd_dempster,0.8529753025029008,0.7893302659756714,0.8156258167673693,0.7714886000597747,0.3423770386072346,0.0125520179355295,0.3846484396477629,0.1467091970907679,9.38637493784187,FOIL:dsgd_dempster
adult,FOIL,42,dsgd_yager,0.846676611967512,0.7642011597422766,0.8276029665677401,0.7350271733620236,0.3786436420235695,0.0669499623582439,0.3846484396477629,0.2803008187431196,9.38637493784187,FOIL:dsgd_yager
bank-full,RF,42,rf,0.9069998894172288,0.731088187641474,0.7941796265032188,0.6956157161407317,0.2084401332728478,0.0072716465776308,,,,RF
bank-full,RIPPER,42,first_hit_laplace,0.8941722879575362,0.6103195085626674,0.7947743932208713,0.5817592769050666,0.4608728224024505,0.0867524904151313,,,,RIPPER:first_hit_laplace
bank-full,RIPPER,42,weighted_vote,0.8929558774742895,0.6242957281010024,0.7680901610650208,0.5933696569536691,0.4291419553280871,0.0465427418882221,,,,RIPPER:weighted_vote
bank-full,RIPPER,42,dsgd_dempster,0.9010284197721996,0.7129302980986825,0.7728442016954538,0.6799352045955732,0.2300199170188811,0.0091016019687864,0.4708818815130319,0.0936235707509864,12.69324339267942,RIPPER:dsgd_dempster
bank-full,RIPPER,42,dsgd_yager,0.8841092557779497,0.6134391891781652,0.7070533250121351,0.5883602643425231,0.2663170668938109,0.0418386630930396,0.4708818815130319,0.2375273085450443,12.69324339267942,RIPPER:dsgd_yager
bank-full,FOIL,42,first_hit_laplace,0.8825610969810903,0.644322472224041,0.7028922344200146,0.6186415218515814,0.4171096226584828,0.0722095542809013,,,,FOIL:first_hit_laplace
bank-full,FOIL,42,weighted_vote,0.8904124737365918,0.6156211664201037,0.7502946802338192,0.5874197603493317,1.088115098138606,0.0704366805139293,,,,FOIL:weighted_vote
bank-full,FOIL,42,dsgd_dempster,0.8977109366360722,0.7069539405735652,0.759534380860285,0.67682676521313,0.2467189848301712,0.0142924231515433,0.4076296192947431,0.0954504897475018,12.96251244056176,FOIL:dsgd_dempster
bank-full,FOIL,42,dsgd_yager,0.8939511224151278,0.6356639685167152,0.7692600220308133,0.6025426336952675,0.2937595087976871,0.052451765063376,0.4076296192947431,0.2593633687124085,12.96251244056176,FOIL:dsgd_yager
breast-cancer-wisconsin,RF,42,rf,0.9635036496350364,0.9604617604617603,0.954970360237118,0.9671114232209738,0.1125571952709486,0.0194890510942629,,,,RF
breast-cancer-wisconsin,RIPPER,42,first_hit_laplace,0.948905109489051,0.945115320780633,0.9374438454627134,0.955875468164794,0.3996672284960168,0.2407181333116153,,,,RIPPER:first_hit_laplace
breast-cancer-wisconsin,RIPPER,42,weighted_vote,0.948905109489051,0.945115320780633,0.9374438454627134,0.955875468164794,1.4785990643856273,0.2509825995364809,,,,RIPPER:weighted_vote
breast-cancer-wisconsin,RIPPER,42,dsgd_dempster,0.948905109489051,0.945115320780633,0.9374438454627134,0.955875468164794,0.5374357291199001,0.3346533893873288,0.6720881101056716,0.3298192702940781,1.0072992700729928,RIPPER:dsgd_dempster
breast-cancer-wisconsin,RIPPER,42,dsgd_yager,0.948905109489051,0.945115320780633,0.9374438454627134,0.955875468164794,0.3732328022385926,0.2295015908357649,0.6720881101056716,0.6694788809668021,1.0072992700729928,RIPPER:dsgd_yager
